fbtime,title,company,experence,gzdd,zwyx,totalnum
2017-09-13 16:31:00,初级JAVA工程师（技术中心）,北京优才创智科技有限公司 ,不限,北京,6001-8000元/月 ,5 
2017-09-15 09:29:49,Java中高级开发工程师,英泰伟业信息技术股份有限公司,3-5年,北京,15000-25000元/月 ,1 
2017-09-18 15:04:04,Java工程师,北京澳际教育咨询有限公司,3-5年,北京,10000-15000元/月 ,2 
2017-09-17 09:20:01,研发部二 招聘Java初级工程师,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,12 
2017-09-17 10:20:01,研发部二 招Java实习生包住宿,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,12 
2017-09-17 10:20:01,研发部二 Java实习岗位招聘，有无经验均可,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,10 
2017-09-18 08:48:01,开发2部 java软件开发实习生高薪定岗,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,15 
2017-09-15 13:29:33,研发三部诚招java开发程序员,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,15 
2017-09-18 08:26:53,研发部二 Java程序员无门槛招聘,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,12 
2017-09-01 14:51:57,招Java软件开发实习生  研发三部,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,12 
2017-09-17 09:50:01,急招0基础Java开发实习+高薪+五险,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-19 10:52:17,高级JAVA开发工程师,第一电动网 ,3-5年,北京,15000-30000元/月 ,1 
2017-09-17 09:50:01,企业急招Java软件开发五险一金（包住宿）,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-19 08:50:00,8K急招Java软件开发工程师,华锐祥博(北京)科技有限公司 ,无经验,北京,8001-10000元/月 ,18 
0002-01-01 00:00:00,急招大数据+JAVA助理,北京优才众创管理咨询合伙企业(有限合伙) ,不限,北京,4001-6000元/月 ,3 
0002-01-01 00:00:00,Java技术经理,北京桔子分期电子商务有限公司 ,5-10年,北京,20000-40000元/月 ,2 
2017-09-20 10:39:51,Java高级工程师（外包）：电商方向,北京鼎亚科技有限公司 ,5-10年,北京,15000-20000元/月 ,10 
2017-09-17 14:54:01,Java开发工程师（Web系统）(职位编号：5),北京智和信通技术有限公司 ,1-3年,北京,8000-15000元/月 ,3 
2017-09-17 14:54:01,Web前端开发（Java基础）(职位编号：2),北京智和信通技术有限公司 ,1-3年,北京,8001-10000元/月 ,2 
2017-09-20 12:28:05,java研发工程师,达疆网络科技(上海)有限公司 ,1-3年,北京,20001-30000元/月 ,999 
2017-09-20 12:28:05,Java软件工程师,达疆网络科技(上海)有限公司 ,5-10年,北京,15000-30000元/月 ,2 
2017-09-20 12:28:05,Java工程师,达疆网络科技(上海)有限公司 ,3-5年,北京,20001-30000元/月 ,5 
2017-08-25 09:37:19,中高级java工程师,北京中德福林软件科技有限公司 ,3-5年,北京,10001-15000元/月 ,6 
2017-09-20 10:26:24,Java软件开发实习生,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,35 
2017-09-20 10:26:24,Java资深开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:26:17,软件Java测试工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:26:17,Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
